ACTRESS|TWITTER_URL
Chloe Bridges|https://twitter.com/ChloeBridges
Alison Brie|
Connie Britton|
Beth Broderick|
Jayne Brook|
Geraldine Brooks (actress)|
Louise Brooks|
Blair Brown|
Yvette Nicole Brown|https://twitter.com/yvettenbrown
Leslie Browne|
Logan Browning|
Sabrina Bryan|
Joy Bryant|
Tara Buck|
Betty Buckley|
Sandra Bullock|
Billie Burke|
Delta Burke|
Carol Burnett|
Brooke Burns|
Catherine Burns|
Ellen Burstyn|
Hilarie Burton|
Sophia Bush|https://twitter.com/#!/SophiaBush
Brett Butler (actress)|
Yancy Butler|
Spring Byington|
Amanda Bynes|
Marion Byron|
Sarah Wayne Callies|
Anna Camp|https://twitter.com/TheRealAnnaCamp
Christa Campbell|
Danielle Campbell|https://twitter.com/#!/daniellemcam|https://twitter.com/daniellemcam
Tisha Campbell|
Dyan Cannon|
Lizzy Caplan|
Jessica Capshaw|https://twitter.com/JessicaCapshaw
Kate Capshaw|
Irene Cara|
Gina Carano|
Linda Cardellini|
Lynn Carlin|
Kitty Carlisle|
Kelly Carlson|
Jeanne Carmen|
Sue Carol|
Charisma Carpenter|https://twitter.com/AllCharisma
Jennifer Carpenter|https://twitter.com/J2thecarpenter
Barbara Carrera|
Tia Carrere|https://twitter.com/TiaCarrere
Dixie Carter|
Lynda Carter|http://twitter.com/#!/RealLyndaCarter
Diahann Carroll|
Madeline Carroll|https://twitter.com/IMMaddieCarroll
Nancy Carroll|
Rosalind Cash|
Peggy Cass|
Joanna Cassidy|
Katie Cassidy|https://twitter.com/MzKatieCassidy
Peggie Castle|
Phoebe Cates|
Jessica Cauffiel|
Emma Caulfield|https://twitter.com/emmacaulfield
Joan Caulfield|
Lacey Chabert|https://twitter.com/IamLaceyChabert
Carol Channing|
Stockard Channing|
Cyd Charisse|
Annette Charles|
Daveigh Chase|
Jessica Chastain|
Ruth Chatterton|
Kristin Chenoweth|
Cher|
Vanessa Lee Chester|
Lois Chiles|
Anna Chlumsky|
Erika Christensen|
Claudia Christian|
Jamie Chung|https://twitter.com/jamiechung1
Candy Clark|
Judy Clark|
Melinda Clarke|https://twitter.com/TheRealMsClarke
Sarah Clarke|
Patricia Clarkson|
Jill Clayburgh|
Rosemary Clooney|
Glenn Close|
Lauren Cohan|
Claudette Colbert|
Taylor Cole|
Tina Cole|
Holliston Coleman|
Kim Coles|
Lynn Collins|
Holly Marie Combs|https://twitter.com/H_Combs
Betty Compson|
Julie Condra|
Michaela Conlin|
Jennifer Connelly|
Rachael Leigh Cook|https://twitter.com/RachaelLCook
Jennifer Coolidge|
Teri Copley|
Gretchen Corbett|
Ellen Corby|
Mara Corday|
Miranda Cosgrove|http://mobile.twitter.com/MirandaCosgrove|https://www.twitter.com/MirandaBuzz|https://www.twitter.com/LightTheNightMD|https://www.twitter.com/MirandaCosgrove|https://twitter.com/MirandaCosgrove
Stephanie Courtney|
Laverne Cox|
Courteney Cox|https://twitter.com/CourteneyCox
Nikki Cox|
Yvonne Craig|
Jeanne Crain|
Barbara Crampton|https://twitter.com/barbaracrampton
Joan Crawford|
Cathy Lee Crosby|
Denise Crosby|
Mary Crosby|
Marcia Cross|
Lindsay Crouse|
Suzanne Cryer|
Erin Cummings|
Quinn Cummings|
Kaley Cuoco|https://twitter.com/
Jane Curtin|
Jamie Lee Curtis|
Ann Cusack|
Joan Cusack|https://twitter.com/realjoancusack
Tawny Cypress|
Miley Cyrus|
Alexandra Daddario|https://www.twitter.com/AADaddario
Arlene Dahl|
Tyne Daly|
Dorothy Dandridge|
Claire Danes|
Shera Danese|
Beverly D'Angelo|
Brittany Daniel|
Bebe Daniels|
Erin Daniels|
Blythe Danner|
Linda Darnell|
Lisa Darr|
Alexa Davalos|
Amy Davidson|https://twitter.com/Amy_Davidson
Jane Darwell|
Stacey Dash|https://twitter.com/REALStaceyDash
Amy Davidson|https://twitter.com/Amy_Davidson
Ann B. Davis|
Bette Davis|
Dana Davis|
Geena Davis|
Hope Davis|
Josie Davis|
Kristin Davis|https://twitter.com/KristinDavis
Phyllis Davis|
Viola Davis|
Pam Dawber|
Rosario Dawson|
Roxann Dawson|
Doris Day|
Felicia Day|https://twitter.com/feliciaday
Marceline Day|
Priscilla Dean|
Yvonne De Carlo|
Brooklyn Decker|https://twitter.com/BrooklynDecker
Ruby Dee|
Sandra Dee|
Kaylee DeFer|
Ellen DeGeneres|
Gloria DeHaven|
Olivia de Havilland|
Wanda De Jesus|
Paz de la Huerta|
Kim Delaney|
Diane Delano|
Dana Delany|https://twitter.com/DanaDelany
Julie Delpy|
Rebecca De Mornay|
Carol Dempster|
Lori Beth Denberg|
Kat Dennings|
Sandy Dennis|
Bo Derek|
Laura Dern|
Portia de Rossi|
Donna D'Errico|
Emily Deschanel|
Zooey Deschanel|https://twitter.com/ZooeyDeschanel
Amanda Detmer|
Zoey Deutch|https://www.twitter.com/#!/ZoeyDeutch|https://twitter.com/ZoeyDeutch
Loretta Devine|
Torrey DeVitto|https://twitter.com/TorreyJDevitto
Jenna Dewan|
Joyce DeWitt|
Noureen DeWulf|https://twitter.com/NoureenDeWulf
Susan Dey|
Cameron Diaz|
Angie Dickinson|
Marlene Dietrich|
Victoria Dillard|
Phyllis Diller|
Melinda Dillon|
Mia Dillon|
Donna Dixon|
Ellen Drew|
Megan Dodds|
Shannen Doherty|
Ami Dolenz|
Dagmara Dominczyk|
Elinor Donahue|
Elisa Donovan|https://twitter.com/RedDonovan
Donna Douglas|
Illeana Douglas|
Billie Dove|
Doris Dowling|
Rachel Dratch|
Fran Drescher|http://www.twitter.com/frandrescher
Louise Dresser|
Marie Dressler|
Julia Louis-Dreyfus|
Joanne Dru|
Alice Drummond|
Haylie Duff|https://twitter.com/HaylieDuff
Hilary Duff|https://twitter.com/hilaryduff
Olympia Dukakis|
Patty Duke|
Faye Dunaway|
Dominique Dunne|
Irene Dunne|
Mildred Dunnock|
Kirsten Dunst|https://twitter.com/kirstendunst
Tiffany Dupont|
Deanna Durbin|
Eliza Dushku|
Clea DuVall|
Shelley Duvall|
Alexis Dziena|https://twitter.com/msalexisdziena
Bobbie Eakes|
Leslie Easterbrook|
Alison Eastwood|
Sonya Eddy|
Melissa Claire Egan|https://twitter.com/MClaireEgan
Nicole Eggert|
Jennifer Ehle|
Lisa Eilbacher|
Jill Eikenberry|
Hallie Eisenberg|
Carmen Electra|https://twitter.com/carmenelectra
Erika Eleniak|
Jenna Elfman|
Shannon Elizabeth|
Vera-Ellen|
Jane Elliot|
Patricia Elliott|
Jena Engstrom|
Kathryn Erbe|
Jennifer Esposito|
Judi Evans|
Linda Evans|
Mary Beth Evans|
Eve (entertainer)|
Angie Everhart|
Briana Evigan|
Kayla Ewell|
Morgan Fairchild|https://twitter.com/morgfair
Lola Falana|
Edie Falco|
Siobhan Fallon Hogan|
Dakota Fanning|
Elle Fanning|
Anna Faris|
Frances Farmer|
Vera Farmiga|
Terry Farrell (actress)|
Mia Farrow|
Farrah Fawcett|
Barbara Feldon|
Sherilyn Fenn|
America Ferrera|
Tina Fey|
Sally Field|
Linda Fiorentino|
Danielle Fishel|https://mobile.twitter.com/daniellefishel
Jenna Fischer|https://twitter.com/jennafischer
Carrie Fisher|
Joely Fisher|
Schuyler Fisk|
Fannie Flagg|
Jennifer Flavin|
Rhonda Fleming|
Louise Fletcher|
Calista Flockhart|
Nina Foch|
Megan Follows|
Bridget Fonda|
Jane Fonda|
Lyndsy Fonseca|https://twitter.com/LyndsyMFonseca
Joan Fontaine|
Anitra Ford|
Courtney Ford|
Maria Ford|
Deborah Foreman|
Jodie Foster|
Kimberly Foster|
Meg Foster|
Sara Foster|
Sutton Foster|https://twitter.com/sfosternyc
Jorja Fox|
Megan Fox|
Vivica A. Fox|
Bonnie Franklin|
Diane Franklin|
Kate French|https://twitter.com/ItsMeKateFrench
Lindsay Frost|
Soleil Moon Frye|
Isabelle Fuhrman|https://twitter.com/isabellefuhrman
Annette Funicello|
Eva Gabor|
Bethany Joy Galeotti|http://twitter.com/BethanyJoyLenz
Aimee Garcia|
Ava Gardner|
Judy Garland|
Jennifer Garner|
Kelli Garner|
Peggy Ann Garner|
Janeane Garofalo|
Teri Garr|
Greer Garson|
Jennie Garth|
Ana Gasteyer|
Janina Gavankar|https://twitter.com/janina
Erica Gavin|
Rebecca Gayheart|
Janet Gaynor|
Mitzi Gaynor|
Barbara Bel Geddes|
Sarah Michelle Gellar|
Gladys George|
Lauren German|
Gina Gershon|
Jami Gertz|
Cynthia Gibb|
Debbie Gibson|
Kelli Giddish|
Melissa Gilbert|
Sara Gilbert|https://twitter.com/THEsaragilbert
Elizabeth Gillies|https://www.twitter.com/#!/LizGillies|https://twitter.com/LizGillies
Peri Gilpin|
Annabeth Gish|
Dorothy Gish|
Lillian Gish|
Robin Givens|
Summer Glau|
Lola Glaudini|
Paulette Goddard|
Tracey Gold|
Whoopi Goldberg|
Gage Golightly|https://mobile.twitter.com/MTVteenwolf|https://twitter.com/gagegolightly
Selena Gomez|https://mobile.twitter.com/selenagomez|https://twitter.com/selenagomez
Meagan Good|
Ginnifer Goodwin|https://twitter.com/ginnygoodwin
Ruth Gordon|
Betty Grable|
Maggie Grace|https://twitter.com/MaggieGrace
Aimee Graham|
Heather Graham|https://twitter.com/imheathergraham
Katerina Graham|
Lauren Graham|https://twitter.com/thelaurengraham
Gloria Grahame|
Ariana Grande|https://twitter.com/#!/ArianaGrande|https://www.twitter.com/ArianaGrande|https://twitter.com/ArianaGrande|https://twitter.com/NathanTheWanted|https://twitter.com/JaiBrooks1
Lee Grant|
Bonita Granville|
Karen Grassle|
Erin Gray|
Kathryn Grayson|
Alice Greczyn|
Ashley Greene|
Judy Greer|https://twitter.com/missjudygreer
Jennifer Grey|https://twitter.com/JenniferGrey
Virginia Grey|
Pam Grier|https://twitter.com/PamGrier
Corinne Griffith|
Melanie Griffith|
Leslie Grossman|
Carla Gugino|
Grace Gummer|
Mamie Gummer|
Anna Gunn|
Jasmine Guy|
Maggie Gyllenhaal|
Shelley Hack|
Joan Hackett|
Jean Hagen|
Leisha Hailey|
Barbara Hale|
Lucy Hale|https://mobile.twitter.com/lucyhale|https://twitter.com/lucyhale
Grayson Hall|
Veronica Hamel|
Linda Hamilton|
Margaret Hamilton|
Daryl Hannah|
Alyson Hannigan|https://twitter.com/alydenisof
Sammi Hanratty|
Marcia Gay Harden|
Melora Hardin|
Ann Harding|
Mariska Hargitay|
Jean Harlow|
Angie Harmon|https://twitter.com/Angie_Harmon
Elisabeth Harnois|https://twitter.com/elisabethharnoi
Tess Harper|
Laura Harring|
Barbara Harris (actress)|
Danielle Harris|https://twitter.com/halloweengal
Danneel Harris|https://twitter.com/DanneelHarris
Julie Harris|
Rachael Harris|
Harriet Sansom Harris|
Linda Harrison (actress)|
Kathryn Harrold|
Melissa Joan Hart|https://twitter.com/SweetHartsweets|https://twitter.com/MelissaJoanHart
Mariette Hartley|
Elizabeth Hartman|
Lisa Hartman|
Teri Hatcher|
Anne Hathaway|
Marcia Haufrecht|
Aaliyah Haughton|
Olivia de Havilland|
Wanda Hawley|
Goldie Hawn|
Salma Hayek|
Allison Hayes|
Helen Hayes|
Susan Hayward|
Rita Hayworth|
Glenne Headly|
Shari Headley|
Amber Heard|https://www.twitter.com/#!/chadthodge|https://www.twitter.com/#!/laurabenanti
Patricia Heaton|
Anne Heche|
Eileen Heckart|
Tippi Hedren|
Katherine Heigl|https://twitter.com/katieheigl
Marg Helgenberger|
Katherine Helmond|
Mariel Hemingway|
Zulay Henao|
Florence Henderson|
Christina Hendricks|
Marilu Henner|
Pamela Hensley|
Taraji P. Henson|
Katharine Hepburn|
Barbara Hershey|
Lori Heuring|
Jennifer Love Hewitt|https://twitter.com/#!/TheReal_Jlh|https://twitter.com/TheReal_Jlh
Catherine Hicks|
Marianna Hill|
Paris Hilton|
Nichole Hiltz|
Cheryl Hines|
Connie Hines|
Marin Hinkle|
Gaby Hoffmann|
Alexandra Holden|
Laurie Holden|
Willa Holland|https://twitter.com/Willaaaah
Judy Holliday|
Laurel Holloman|https://twitter.com/nalamommy
Lauren Holly|
Celeste Holm|
Katie Holmes|
Darla Hood|
Charlene Holt|
Miriam Hopkins|
Hedda Hopper|
Lena Horne|
Julianne Hough|
Whitney Houston|https://www.twitter.com/#!/sparklemovie|https://twitter.com/iamtikasumpter|https://twitter.com/actorderekluke|https://twitter.com/deavanebersole
Bryce Dallas Howard|
Traylor Howard|
Season Hubley|
Vanessa Hudgens|
Jennifer Hudson|
Kate Hudson|
Felicity Huffman|https://twitter.com/goldenglobes|https://twitter.com/felicityhuffman
Finola Hughes|https://twitter.com/finolahughes
Josephine Hull|
Gayle Hunnicutt|
Bonnie Hunt|
Helen Hunt|
Linda Hunt|
Holly Hunter|
Kaki Hunter|
Ruth Hussey|
Anjelica Huston|
Lauren Hutton|
Martha Hyer|
Sarah Hyland|https://twitter.com/Sarah_Hyland
Joyce Hyser|
Laura Innes|
Jill Ireland|
Kathy Ireland|
Amy Irving|
Judith Ivey|
Janet Jackson|
Kate Jackson|
Shar Jackson|
Sherry Jackson|
Victoria Jackson|
Allison Janney|
Claudia Jennings|
Scarlett Johansson|
Amy Jo Johnson|
Lynn-Holly Johnson|
Angelina Jolie|
Anissa Jones|
Carolyn Jones|
Catherine Zeta Jones|
Cherry Jones|
Janet Jones|
January Jones|
Jennifer Jones (actress)|
Rashida Jones|https://twitter.com/iamrashidajones
Shirley Jones|
Tamala Jones|
Milla Jovovich|https://twitter.com/MillaJovovich
Elaine Joyce|
Ella Joyce|
Ashley Judd|
Victoria Justice|https://twitter.com/VictoriaJustice
Jane Kaczmarek|
Madeline Kahn|
Mindy Kaling|
Melina Kanakaredes|
Carol Kane|
Chelsea Kane|
Mitzi Kapture|
Lainie Kazan|
Jane Kean|
Staci Keanan|
Diane Keaton|
Arielle Kebbel|
Monica Keena|
Catherine Keener|
Sally Kellerman|
Sheila Kelley (American actress)|
Grace Kelly|
Jean Louisa Kelly|
Lisa Robin Kelly|
Minka Kelly|http://twitter.com/#!/the_USO|https://twitter.com/minkakelly
Moira Kelly|
Nancy Kelly|
Patsy Kelly|
Anna Kendrick|
Barbara Kent|
Riley Keough|
Margot Kidder|
Nicole Kidman|
Laura Kightlinger|
Jaime King|
Kent King|
Regina King|
Sally Kirkland|
Tawny Kitaen|
Eartha Kitt|
Alexis Knapp|https://twitter.com/AlexisKnapp
Shirley Knight|
Keisha Knight-Pulliam|
Beyoncé Knowles|
Susan Kohner|
Nancy Kovack|
Linda Kozlowski|
Jane Krakowski|
Lisa Kudrow|https://twitter.com/LisaKudrow
Mila Kunis|
Swoosie Kurtz|
Nancy Kwan|
Eva LaRue|
Cheryl Ladd|
Diane Ladd|
Christine Lahti|
Sanoe Lake|
Ricki Lake|
Veronica Lake|
Christine Lakin|
Hedy Lamarr|
Dorothy Lamour|
Sarah Lancaster|https://twitter.com/SarahMLancaster
Juliet Landau|https://twitter.com/julietlandau
Audrey Landers|
Judy Landers|
Carole Landis|
Diane Lane|
Priscilla Lane|
Hope Lange|
Jessica Lange|
Heather Langenkamp|
A. J. Langer|
Brooke Langton|
Angela Lansbury|
Joi Lansing|
Liza Lapira|
Ali Larter|https://twitter.com/TheRealAliL
Sanaa Lathan|
Ashley Laurence|
Piper Laurie|
Linda Lavin|
Barbara Lawrence|
Jennifer Lawrence|
Vicki Lawrence|
Bianca Lawson|
Maggie Lawson|
Cloris Leachman|http://www.twitter.com/cloris_leachman
Sharon Leal|
Kelly LeBrock|
Diana Lee|
Gwen Lee|
Peggy Lee|
Robinne Lee|
Sheryl Lee|
Andrea Leeds|
Erica Leerhsen|
Hudson Leick|
Chyler Leigh|
Janet Leigh|
Jennifer Jason Leigh|
Bethany Joy Lenz|http://twitter.com/BethanyJoyLenz
Kay Lenz|
Melissa Leo|
Téa Leoni|
Joan Leslie|
Margarita Levieva|
Juliette Lewis|https://twitter.com/juliettelewis
Vicki Lewis|
Jennifer Lien|
Judith Light|
Abbey Lincoln|
Riki Lindhome|https://twitter.com/rikilindhome
Bai Ling|
Laura Linney|
Peggy Lipton|
Peyton List (actress born 1986)|
Peyton List (actress born 1998)|https://twitter.com/PeytonList
Lucy Liu|
Blake Lively|
Sabrina Lloyd|
Amy Locane|
Sondra Locke|
Heather Locklear|
Lindsay Lohan|
Alison Lohman|
Kristanna Loken|
Carole Lombard|
Karina Lombard|https://twitter.com/ikarinalombard
Lauren London|
Nia Long|
Shelley Long|
Eva Longoria|
Jennifer Lopez|
Traci Lords|
Josie Loren|https://twitter.com/josloren
Joan Lorring|
Lori Loughlin|https://twitter.com/LoriLoughlin
Demi Lovato|https://twitter.com/dallaslovato|https://www.twitter.com/GLEEonFOX|https://www.twitter.com/ddlovato
Bessie Love|
Carey Lowell|
Myrna Loy|
Shannon Lucio|https://twitter.com/iamshannonlucio
Jamie Luner|https://twitter.com/JamieMLuner
Ida Lupino|
Masiela Lusha|
Dorothy Lyman|
Jane Lynch|
Kelly Lynch|
Carol Lynley|
Meredith Scott Lynn|
Sue Lyon|
Natasha Lyonne|
Jennifer Lyons|https://twitter.com/JenniferLyons86
Jes Macallan|https://twitter.com/jesmacallan
June MacCloy|
Andie MacDowell|
Allison Mack|
Dorothy Mackaill|
Shirley MacLaine|
Aline MacMahon|
Amy Madigan|
Bailee Madison|http://twitter.com/followbailee|https://twitter.com/baileemadison
Madonna (entertainer)|
Virginia Madsen|
Marjorie Main|
Tina Majorino|
Wendie Malick|https://twitter.com/wendiemalick
Dorothy Malone|
Jena Malone|
Camryn Manheim|
Leslie Mann|
Taryn Manning|http://twitter.com/TarynManning
Jayne Mansfield|
Gia Mantegna|
Linda Manz|
Adele Mara|
Kate Mara|
Rooney Mara|
Vanessa Marcil|
Ann-Margret|
Julianna Margulies|
Constance Marie|
Brit Marling|
Paula Marshall|
Penny Marshall|
Andrea Martin|
Kellie Martin|
Mary Martin|
Meaghan Jette Martin|
Pamela Sue Martin|
Natalie Martinez|https://twitter.com/nataliemartinez
Marsha Mason|
Chase Masterson|
Mary Stuart Masterson|
Mary Elizabeth Mastrantonio|
Samantha Mathis|
Marlee Matlin|https://twitter.com/MarleeMatlin
Marilyn Maxwell|
Elaine May|
Melanie Mayron|
Jayma Mays|
Debi Mazar|
Monet Mazur|
Diane McBain|
Irish McCalla|
Mercedes McCambridge|
Jenny McCarthy|https://twitter.com/JennyMcCarthy
Melissa McCarthy|
Rue McClanahan|
AnnaLynne McCord|
Mary McCormack|
Patty McCormack|
Maureen McCormick|
Sierra McCormick|http://twitter.com/#!/radiodisney|http://twitter.com/#!/realchinaanne|https://twitter.com/SierraNMcCormic
Kimberly McCullough|
Jennette McCurdy|https://www.twitter.com/#!/jennettemccurdy|https://www.twitter.com/jennettemccurdy
Hattie McDaniel|
Mary McDonnell|
Frances McDormand|
Gates McFadden|
Vonetta McGee|
Kelly McGillis|
Elizabeth McGovern|
Maureen McGovern|
Rose McGowan|https://twitter.com/rosemcgowan
Dorothy McGuire|
Kathryn McGuire|
Lonette McKee|
Danica McKellar|
Nancy McKeon|
Nina Mae McKinney|
Mercedes McNab|
Maggie McNamara|
Kristy McNichol|
Katharine McPhee|http://twitter.com/katharinemcphee
Butterfly McQueen|
Kay Medford|
Leighton Meester|https://www.twitter.com/#!/itsmeleighton
Tamara Mello|
Eva Mendes|
Bridgit Mendler|https://twitter.com/bridgitmendler
Idina Menzel|
Lee Meriwether|https://twitter.com/LeeMeriwether
Una Merkel|
Ethel Merman|
Debra Messing|
Dina Meyer|http://twitter.com/#!/DinaMeyer
AJ Michalka|
Aly Michalka|
Lea Michele|https://twitter.com/msleamichele
Tammy Lynn Michaels|
Bette Midler|
Alyssa Milano|https://twitter.com/alyssa_milano
Sylvia Miles|
Vera Miles|
Penelope Milford|
Ivana Miličević|
Ann Miller|
Christa Miller|
Penelope Ann Miller|
Donna Mills|
Yvette Mimieux|
Nicki Minaj|
Rachel Miner|
Liza Minnelli|
Elizabeth Mitchell|
Mary Ann Mobley|https://twitter.com/maryannemobley
Katherine Moennig|
Gretchen Mol|
Taylor Momsen|https://twitter.com/taylormomsen
Michelle Monaghan|
Daniella Monet|https://twitter.com/DaniellaMonet
Elizabeth Montgomery|
Mo'Nique|
Marilyn Monroe|
Demi Moore|https://twitter.com/#!/mrskutcher|https://twitter.com/justdemi
Grace Moore|
Joanna Moore|
Juanita Moore|
Julianne Moore|https://twitter.com/_juliannemoore
Kenya Moore|
Mandy Moore|https://twitter.com/TheMandyMoore
Mary Tyler Moore|
Terry Moore (actress)|
Agnes Moorehead|
Erin Moran|
Rita Moreno|
Chloë Grace Moretz|https://twitter.com/hldaemonme
Cathy Moriarty|
Debbi Morgan|https://twitter.com/debbimorgan
Haviland Morris|
Kathryn Morris|
Jennifer Morrison|https://twitter.com/jenmorrisonlive
Shelley Morrison|
Elisabeth Moss|
Tamera Mowry|https://twitter.com/tameramowrytwo
Tia Mowry|https://twitter.com/tiamowry
Bridget Moynahan|
Liliana Mumy|
Diana Muldaur|
Kate Mulgrew|
Megan Mullally|
Olivia Munn|https://twitter.com/oliviamunn
Brittany Murphy|
Donna Murphy|
Jillian Murray|https://twitter.com/JillianMurray
Ming-Na|
Nita Naldi|
Florence Nash|
Mildred Natwick|
Elise Neal|
Patricia Neal|
Noel Neill|
Kristin Nelson|
Tracy Nelson (actress)|
Bebe Neuwirth|
Julie Newmar|
Barbara Nichols|
Nichelle Nichols|https://twitter.com/RealNichelle
Rachel Nichols (actress)|https://twitter.com/RachelNichols1
Julianne Nicholson|
Cynthia Nixon|
Mabel Normand|
Sheree North|
Brandy Norwood|https://twitter.com/fatbellybella
Kim Novak|
Margaret O'Brien|
Renee O'Connor|
Rosie O'Donnell|
Gail O'Grady|https://twitter.com/GailOGrady
Catherine O'Hara|
Jodi Lyn O'Keefe|
Tatum O'Neal|
Barbara O'Neil|
Jennifer O'Neill|
Ahna O'Reilly|
Maureen O'Sullivan|
Annette O'Toole|
Randi Oakes|
Jacqueline Obradors|
Kimberly Oja|
Larisa Oleynik|
Susan Oliver|
Ashley Olsen|
Mary-Kate Olsen|
Elizabeth Olsen|
Susan Olsen|
Nancy Olson|
Lupe Ontiveros|
Ana Ortiz|https://twitter.com/TheRealAnaOrtiz
Madolyn Smith Osborne|
Emily Osment|https://www.twitter.com/EmilyOsment|https://twitter.com/Academy_NET
Beth Ostrosky|
Cheri Oteri|
Kelly Overton (actress)|
Genevieve Padalecki|
Ellen Page|https://twitter.com/BryanSinger
Geraldine Page|
Janis Paige|
Adrianne Palicki|https://twitter.com/adriannepalicki
Betsy Palmer|
